 pays	 pays_lib	 syst	 syst_lib	 sect	 sect_lib	 agglo	 agglo_lib	 annee	 mois	 pue	 fm	 cap	 obs_sp_min	 obs_sp_max	 pue_sp_ecart_type	 pue_sp	cap_sp	 nbre_enquete_sp	 esp_lib	 eco_lib	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.31	0.31	0.042	0.006	1.5	1	Tetraodon lineatus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.02	0.06	0.014	0.008	2	10	Petrocephalus spp.	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.24	21.69	4.193	1.356	431.8	10	Brycinus macrolepidotus	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.07	10.87	2.024	1.498	477	33	Tilapia zillii	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.24	17.79	3.523	3.089	983.6	30	Synodontis ocellifer	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.25	0.25	0.038	0.006	2	1	Divers-Melange		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.53	0.67	0.126	0.029	9.5	2	Mormyrops deliciosus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.48	0.86	0.145	0.032	10.5	2	Bagrus docmak	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.04	1.25	0.199	0.042	13.7	3	Chrysichthys auratus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.76	1.5	0.248	0.054	17.7	2	Malapterurus electricus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	1.25	1.5	0.287	0.065	21.2	2	Tilapia spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.05	3.97	0.717	0.406	132.7	19	Hemichromis fasciatus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	1.05	5.25	1.183	0.418	136.6	5	Hydrocynus brevis	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.02	10.16	2.525	2.327	760.6	25	Mormyrus rume	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.16	11.16	2.841	2.554	834.8	23	Synodontis ocellifer	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.17	17.22	4.402	2.641	863.3	17	Synodontis schall	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	8	30.649	326.878	10018.5	0.23	37.44	8.018	5.08	1660.5	26	Tilapia zillii	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.02	0.12	0.023	0.009	2	5	Chrysichthys auratus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.26	0.26	0.047	0.009	2	1	Marcusenius senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.12	0.37	0.069	0.018	4	2	Clarias anguillaris	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.11	0.5	0.092	0.022	4.8	2	Raiamas senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.32	0.37	0.086	0.025	5.5	2	Heterobranchus longifilis	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.36	1.38	0.276	0.117	25.7	5	Labeo senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.02	5.84	1.165	0.332	73	9	Hydrocynus brevis	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.17	2.75	0.572	0.335	73.7	13	Synodontis spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.4	9	1.77	0.989	217.6	12	Synodontis schall	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.19	8.05	1.661	1.006	221.3	16	Mormyrops deliciosus	Continentale	
